Mariniers Aylmer,Hull Volant Hull,8 - 3,"Sam, 21 mai",11:00,Ste-Bernadette,ABAH,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5285&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
Pionniers La Pêche,Patriotes Gatineau,9 - 11,"Lun, 23 mai",18:30,Sanscartier 3,ABAG,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5286&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
Express Deux-Rives,Athlétiques Val-des-Monts,9 - 4,"Lun, 23 mai",18:30,J.A. Perkins,ABAVDM,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5287&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
National Gatineau,Mariniers Aylmer,0 - 9,"Mer, 25 mai",18:30,Lloyd,ABAA,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5288&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
Athlétiques Val-des-Monts,Pionniers La Pêche,8 - 11,"Jeu, 26 mai",18:30,Parc des Loups,ABALP,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5289&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
Hull Volant Hull,Express Deux-Rives,11 - 12,"Sam, 28 mai",11:00,Gilles-Maisonneuve,ABADR,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5290&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
Patriotes Gatineau,National Gatineau,12 - 9,"Dim, 29 mai",9:00,Sanscartier 3,ABAG,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5291&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
Hull Volant Hull,Athlétiques Val-des-Monts,7 - 8,"Lun, 30 mai",18:30,J.A. Perkins,ABAVDM,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5294&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
Patriotes Gatineau,Mariniers Aylmer,2 - 12,"Lun, 30 mai",18:30,Lloyd,ABAA,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5292&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
Pionniers La Pêche,National Gatineau,7 - 1,"Lun, 30 mai",18:30,Sanscartier 3,ABAG,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5293&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
National Gatineau,Hull Volant Hull,7 - 14,"Mar, 31 mai",18:30,Ste-Bernadette,ABAH,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5295&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
Athlétiques Val-des-Monts,Patriotes Gatineau,16 - 12,"Mer, 01 jun",18:30,Sanscartier 3,ABAG,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5296&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
Express Deux-Rives,Pionniers La Pêche,10 - 11,"Jeu, 02 jun",18:30,Parc des Loups,ABALP,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5298&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
Mariniers Aylmer,Athlétiques Val-des-Monts,14 - 7,"Lun, 06 jun",18:30,J.A. Perkins,ABAVDM,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5300&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
Patriotes Gatineau,Hull Volant Hull,3 - 15,"Mar, 07 jun",18:30,Ste-Bernadette,ABAH,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5301&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
Athlétiques Val-des-Monts,National Gatineau,6 - 7,"Mer, 08 jun",18:30,Sanscartier 3,ABAG,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5302&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
Pionniers La Pêche,Mariniers Aylmer,9 - 17,"Mer, 08 jun",18:30,Lloyd,ABAA,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5303&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
National Gatineau,Express Deux-Rives,4 - 14,"Jeu, 09 jun",18:30,Gilles-Maisonneuve,ABADR,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5304&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
Hull Volant Hull,Pionniers La Pêche,9 - 18,"Jeu, 09 jun",18:30,Parc des Loups,ABALP,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5305&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
Hull Volant Hull,Patriotes Gatineau,10 - 14,"Lun, 13 jun",18:30,Sanscartier 3,ABAG,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5306&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
